Data da Venda,Ordem de Compra,SKU,ID Cliente,Qtd Vendida,ID Loja
2021-01-01,SO48797,HL1024,14335,1,153
2021-01-01,SO48802,HL1008,24923,1,58
2021-01-01,SO48801,HL1019,15493,1,132
2021-01-01,SO48799,HL1001,26708,1,61
2021-01-01,SO48798,HL1002,23332,1,55
2021-01-01,SO48800,HL1007,15491,1,179
2021-01-01,SO48795,HL1009,16538,1,12
2021-01-01,SO48796,HL1003,15094,1,180
2021-01-02,SO48804,HL1002,12276,1,193
2021-01-02,SO48814,HL1020,13647,1,154
2021-01-02,SO48812,HL1003,13630,1,123
2021-01-02,SO48803,HL1008,19416,1,49
2021-01-02,SO48809,HL1007,23411,1,170
2021-01-02,SO48807,HL1008,20892,1,186
2021-01-02,SO48805,HL1005,19318,1,5
2021-01-02,SO48808,HL1002,16552,1,50
2021-01-02,SO48813,HL1014,13631,1,14
2021-01-02,SO48810,HL1014,23415,1,189
2021-01-02,SO48806,HL1021,20885,1,14
2021-01-02,SO48811,HL1005,15517,1,154
2021-01-03,SO48819,HL1008,13622,1,177
2021-01-03,SO48817,HL1024,26049,1,48
2021-01-03,SO48820,HL1023,13958,1,129
2021-01-03,SO48815,HL1021,17700,1,84
2021-01-03,SO48818,HL1018,15497,1,158
2021-01-03,SO48821,HL1001,23344,1,85
2021-01-03,SO48816,HL1007,12459,1,1
2021-01-04,SO48827,HL1013,26729,1,135
2021-01-04,SO48825,HL1013,23414,1,52
2021-01-04,SO48829,HL1010,23121,1,286
2021-01-04,SO48822,HL1008,17743,1,286
2021-01-04,SO48824,HL1021,23408,1,157
2021-01-04,SO48828,HL1009,23120,1,158
2021-01-04,SO48823,HL1001,16821,1,116
2021-01-04,SO48826,HL1005,23421,1,26
2021-01-05,SO48835,HL1001,21148,1,52
2021-01-05,SO48832,HL1019,23418,1,22
2021-01-05,SO48831,HL1019,20886,1,174
2021-01-05,SO48836,HL1019,13959,1,31
2021-01-05,SO48834,HL1001,26695,1,117
2021-01-05,SO48833,HL1019,23118,1,4
2021-01-05,SO48830,HL1001,17750,1,186
2021-01-06,SO48838,HL1019,23409,1,144
2021-01-06,SO48837,HL1005,23311,1,23
2021-01-07,SO48841,HL1005,17716,1,69
2021-01-07,SO48845,HL1013,13620,1,192
2021-01-07,SO48843,HL1023,15489,1,159
2021-01-07,SO48839,HL1023,16567,1,116
2021-01-07,SO48847,HL1005,14336,1,84
2021-01-07,SO48844,HL1021,15492,1,199
2021-01-07,SO48846,HL1007,13651,1,199
2021-01-07,SO48840,HL1001,17753,1,199
2021-01-07,SO48842,HL1008,12463,1,199
2021-01-08,SO48855,HL1009,13955,1,199
2021-01-08,SO48857,HL1021,26652,1,199
2021-01-08,SO48852,HL1009,15503,1,199
2021-01-08,SO48851,HL1010,26717,1,308
2021-01-08,SO48853,HL1007,15520,1,308
2021-01-08,SO48856,HL1001,13967,1,308
2021-01-08,SO48849,HL1009,28904,1,308
2021-01-08,SO48854,HL1013,13643,1,308
2021-01-08,SO48850,HL1014,29361,1,308
2021-01-08,SO48848,HL1013,19424,1,308
2021-01-09,SO48862,HL1019,26805,1,200
2021-01-09,SO48858,HL1006,15455,1,200
2021-01-09,SO48864,HL1001,13964,1,200
2021-01-09,SO48860,HL1008,13849,1,200
2021-01-09,SO48863,HL1015,26718,1,300
2021-01-09,SO48865,HL1021,24924,1,253
2021-01-09,SO48859,HL1007,16603,1,256
2021-01-09,SO48861,HL1013,26786,1,252
2021-01-09,SO48866,HL1001,13527,1,281
2021-01-10,SO48871,HL1001,20736,1,278
2021-01-10,SO48869,HL1017,23314,1,272
2021-01-10,SO48868,HL1015,19320,1,293
2021-01-10,SO48870,HL1001,23316,1,265
2021-01-10,SO48876,HL1013,26588,1,276
2021-01-10,SO48872,HL1007,15483,1,252
2021-01-10,SO48867,HL1018,15451,1,272
2021-01-10,SO48877,HL1001,26657,1,299
2021-01-10,SO48875,HL1009,24922,1,268
2021-01-10,SO48874,HL1001,13970,1,265
2021-01-11,SO48883,HL1018,13528,1,294
2021-01-11,SO48884,HL1001,24921,1,302
2021-01-11,SO48881,HL1005,23324,1,254
2021-01-11,SO48880,HL1009,13746,1,307
2021-01-11,SO48879,HL1007,12526,1,307
2021-01-11,SO48878,HL1014,17715,1,307
2021-01-11,SO48882,HL1014,26801,1,307
2021-01-12,SO48888,HL1012,15482,1,307
2021-01-12,SO48890,HL1001,13618,1,310
2021-01-12,SO48891,HL1001,13650,1,310
2021-01-12,SO48889,HL1008,26711,1,310
2021-01-12,SO48887,HL1001,26811,1,310
2021-01-12,SO48886,HL1023,12473,1,235
2021-01-12,SO48885,HL1001,17755,1,225
2021-01-13,SO48899,HL1009,23313,1,202
2021-01-13,SO48902,HL1016,13966,1,215
2021-01-13,SO48898,HL1019,13856,1,243
2021-01-13,SO48896,HL1009,17632,1,305
2021-01-13,SO48903,HL1020,26653,1,205
2021-01-13,SO48901,HL1017,13960,1,247
2021-01-13,SO48893,HL1007,17772,1,263
2021-01-13,SO48900,HL1005,26734,1,248
2021-01-13,SO48895,HL1007,19418,1,201
2021-01-13,SO48894,HL1007,19034,1,309
2021-01-13,SO48892,HL1015,17714,1,309
2021-01-13,SO48897,HL1007,16540,1,306
2021-01-14,SO48905,HL1021,26814,1,306
2021-01-14,SO48904,HL1006,12492,1,306
2021-01-14,SO48906,HL1008,26705,1,306
2021-01-14,SO48908,HL1024,13626,1,306
2021-01-14,SO48907,HL1021,26727,1,306
2021-01-14,SO48909,HL1001,13953,1,306
2021-01-15,SO48916,HL1007,13616,1,306
2021-01-15,SO48913,HL1020,23412,1,306
2021-01-15,SO48919,HL1004,26658,1,22
2021-01-15,SO48918,HL1004,13638,1,197
2021-01-15,SO48914,HL1005,26735,1,303
2021-01-15,SO48911,HL1007,20880,1,275
2021-01-15,SO48915,HL1007,15481,1,222
2021-01-15,SO48917,HL1018,13636,1,309
2021-01-15,SO48912,HL1015,20841,1,190
